"network","object","tumor","tcga","regulators","interactions","file","bytes","md5"
"blca","regulonblca","Bladder Carcinoma","BLCA",6054,489101,"regulonblca.rda",8600462,"059aacd614404c894059687caf4383e3"
"brca","regulonbrca","Breast Carcinoma","BRCA",6054,331919,"regulonbrca.rda",5961290,"2766ed8d79863e98cabf8f4628df0f58"
"cesc","reguloncesc","Cervical Squamous Carcinoma","CESC",6056,583961,"reguloncesc.rda",10061971,"69e62a2ac09efce758d362d229a58e62"
"coad","reguloncoad","Colon Adenocarcinoma","COAD",6056,413789,"reguloncoad.rda",7329733,"db5fcf40e55708d807d4e2231cb9354e"
"esca","regulonesca","Esophageal Carcinoma","ESCA",5951,529286,"regulonesca.rda",9121682,"035fe80b2111e8e33986c049b30fccb1"
"gbm","regulongbm","Glioblastoma","GBM",6056,563850,"regulongbm.rda",9594907,"ebee5a7a3ad73109cd0e9d54e3d9c5dc"
"hnsc","regulonhnsc","Head and Neck Squamous Carcinoma","HNSC",6055,423104,"regulonhnsc.rda",7523271,"4d794da45caae1e0ff877bc5f96a9aff"
"kirc","regulonkirc","Kidney Renal Clear Cell Carcinoma","KIRC",6054,350478,"regulonkirc.rda",6203291,"32a975c9bb03a66b6d1514de44f66e2f"
"kirp","regulonkirp","Kidney Papillary Carcinoma","KIRP",6055,452653,"regulonkirp.rda",8140171,"51bfda211f535d401ddcc0696b57c6af"
"laml","regulonlaml","Acute Myeloid Leukemia","LAML",6007,531535,"regulonlaml.rda",9215533,"1f1ca32c8eef6c5e706bcfde443bb596"
"lihc","regulonlihc","Liver Hepatocellular Carcinoma","LIHC",6056,469922,"regulonlihc.rda",8369685,"f5e831b0e90f78fe5936e3e51863b012"
"luad","regulonluad","Lung Adenocarcinoma","LUAD",6055,399513,"regulonluad.rda",7171481,"3a7a216f76c39701deeea79d521d9598"
"lusc","regulonlusc","Lung Squamous Carcinoma","LUSC",6054,455032,"regulonlusc.rda",8121045,"c70a98cf3250ba9b9d80b84b6684331d"
"net","regulonnet","Neuroendocrine Tumor",,6129,666241,"regulonnet.rda",12640179,"ff7aaca8866c4af99a1b965f197e6005"
"ov","regulonov","Ovarian Carcinoma","OV",6007,647358,"regulonov.rda",11021683,"c64a964d1972a7ccef1cd4322fa7fa4e"
"paad","regulonpaad","Pancreas Carcinoma","PAAD",6056,520756,"regulonpaad.rda",9172179,"933cd1e92d1af2694472b98381fc8ef0"
"pcpg","regulonpcpg","Pheochromocytoma and Paraganglioma","PCPG",6056,603617,"regulonpcpg.rda",10372282,"9358ffaf7608585e1603ce03435cbf1b"
"prad","regulonprad","Prostate Carcinoma","PRAD",6053,330922,"regulonprad.rda",5893202,"624d90317587b7dc74006f915a6c7032"
"read","regulonread","Rectal Adenocarcinoma","READ",6056,557911,"regulonread.rda",9804367,"fcef2d4fbd1fc0e5071754f519e0cfed"
"sarc","regulonsarc","Sarcoma","SARC",6112,526591,"regulonsarc.rda",9206983,"0f62f58f5148246eb2309fd061a1aca6"
"stad","regulonstad","Stomach Adenocarcinoma","STAD",6056,561858,"regulonstad.rda",10213115,"8c3c597a0131294fca3f78a6c64e9240"
"tgct","regulontgct","Testicular Cancer","TGCT",6056,432621,"regulontgct.rda",8065701,"b93a9f53259189d7facc4edba5d3eb13"
"thca","regulonthca","Thyroid Carcinoma","THCA",6053,317582,"regulonthca.rda",5435521,"43286f35de9fc0585eb428a9b2a38eb8"
"thym","regulonthym","Thymoma","THYM",6056,387923,"regulonthym.rda",7028306,"debd0ef38904152dc0945f81123e4c7c"
"ucec","regulonucec","Uterine Corpus Endometrial Carcinoma","UCEC",6055,469845,"regulonucec.rda",8620658,"790fc838afb8c279a398634f6992a8ee"
